id_image,label,image_name,key_value,ingredients,json_format,json_format_clean,total_g,target,json_nutrition,ing_not_found
apple_pie/20_homemade_apple_pie_hostedLargeUrl.jpg,69,20_homemade_apple_pie_hostedLargeUrl.jpg,apple_pie,"flour,salt,oil,cold water,apple,sugar,cinnamon,butter","{""apple_pie"": {""flour"": 180, ""salt"": 1, ""oil"": 120, ""cold water"": 240, ""apple"": 680, ""sugar"": 150, ""cinnamon"": 2.60, ""butter"": 113}}","{'apple_pie': {'flour': 180, 'salt': 1, 'oil': 120, 'cold water': 240, 'apple': 680, 'sugar': 150, 'cinnamon': 2.6, 'butter': 113}}",1486.6,"[0.14441678999058255, 0.25703820799138977, 0.014330687474774654, 0.584214314543253]","{'apple_pie': {'cal': 3464.87, 'fat': 0.14441678999058255, 'carb': 0.25703820799138977, 'protein': 0.014330687474774654, 'other': 0.584214314543253}}","['cold water', 'cinnamon']"
apple_pie/43_homestyle_apple_pie_hostedLargeUrl.jpg,91,43_homestyle_apple_pie_hostedLargeUrl.jpg,apple_pie,"shell,pie,sugar,flour,cinnamon,apple,lemon,butter,milk","{""apple_pie"": {""shell"": 1, ""pie"": 1, ""sugar"": 150, ""flour"": 180, ""cinnamon"": 2.60, ""apple"": 680, ""lemon"": 15, ""butter"": 113, ""milk"": 240}}","{'apple_pie': {'shell': 1, 'pie': 1, 'sugar': 150, 'flour': 180, 'cinnamon': 2.6, 'apple': 680, 'lemon': 15, 'butter': 113, 'milk': 240}}",1382.6,"[0.07181759004773615, 0.28602849703457256, 0.02160350065094749, 0.6205504122667438]","{'apple_pie': {'cal': 2527.94, 'fat': 0.07181759004773615, 'carb': 0.28602849703457256, 'protein': 0.02160350065094749, 'other': 0.6205504122667438}}","['shell', 'pie', 'cinnamon']"
apple_pie/28_apple_pie_hostedLargeUrl.jpg,77,28_apple_pie_hostedLargeUrl.jpg,apple_pie,"apple,lemon,sugar,flour,cinnamon,nut,butter,salt,butter,ice water","{""apple_pie"": {""apple"": 680,""lemon"": 15,""sugar"": 150,""flour"": 180,""cinnamon"": 2.60,""nut"": 0.50,""butter"": 226,""salt"": 2.40,""ice water"": 120}}","{'apple_pie': {'apple': 680, 'lemon': 15, 'sugar': 150, 'flour': 180, 'cinnamon': 2.6, 'nut': 0.5, 'butter': 226, 'salt': 2.4, 'ice water': 120}}",1376.5,"[0.13531783508899384, 0.2786603705049038, 0.016253541590991644, 0.5697682528151107]","{'apple_pie': {'cal': 3215.75, 'fat': 0.13531783508899384, 'carb': 0.2786603705049038, 'protein': 0.016253541590991644, 'other': 0.5697682528151107}}","['cinnamon', 'nut', 'ice water']"
apple_pie/39_classic_apple_pie_hostedLargeUrl.jpg,88,39_classic_apple_pie_hostedLargeUrl.jpg,apple_pie,"pie,apple,sugar,corn starch,cinnamon,lemon,butter,egg,cold water","{""apple_pie"": {""pie"": 1, ""apple"": 680, ""sugar"": 150, ""corn starch"": 15, ""cinnamon"": 2.60, ""lemon"": 15, ""butter"": 113, ""egg"": 1, ""cold water"": 120}}","{'apple_pie': {'pie': 1, 'apple': 680, 'sugar': 150, 'corn starch': 15, 'cinnamon': 2.6, 'lemon': 15, 'butter': 113, 'egg': 1, 'cold water': 120}}",1097.6,"[0.08467793367346939, 0.23722029883381926, 0.0028735422740524784, 0.6752282252186589]","{'apple_pie': {'cal': 1807.16, 'fat': 0.08467793367346939, 'carb': 0.23722029883381926, 'protein': 0.0028735422740524784, 'other': 0.6752282252186589}}","['pie', 'cinnamon', 'egg', 'cold water']"
apple_pie/13_mug_apple_pie_hostedLargeUrl.jpg,62,13_mug_apple_pie_hostedLargeUrl.jpg,apple_pie,"apple,brown sugar,butter,cinnamon,allspice,nut,pie","{""apple_pie"": {""apple"": 680, ""brown sugar"": 150, ""butter"": 113, ""cinnamon"": 2.60, ""allspice"": 0.50, ""nut"": 0.30, ""pie"": 1}}","{'apple_pie': {'apple': 680, 'brown sugar': 150, 'butter': 113, 'cinnamon': 2.6, 'allspice': 0.5, 'nut': 0.3, 'pie': 1}}",947.4,"[0.09804728731264514, 0.25576630778974035, 0.0032657800295545704, 0.6429206248680599]","{'apple_pie': {'cal': 1733.81, 'fat': 0.09804728731264514, 'carb': 0.25576630778974035, 'protein': 0.0032657800295545704, 'other': 0.6429206248680599}}","['cinnamon', 'allspice', 'nut', 'pie']"
apple_pie/45_perfect_apple_pie_hostedLargeUrl.jpg,93,45_perfect_apple_pie_hostedLargeUrl.jpg,apple_pie,"pie,apple,sugar,flour,cinnamon,salt,nut,lemon","{""apple_pie"": {""pie"": 1, ""apple"": 680, ""sugar"": 150, ""flour"": 180, ""cinnamon"": 2.60, ""salt"": 0.10, ""nut"": 0.50, ""lemon"": 15}}","{'apple_pie': {'pie': 1, 'apple': 680, 'sugar': 150, 'flour': 180, 'cinnamon': 2.6, 'salt': 0.1, 'nut': 0.5, 'lemon': 15}}",1029.2,"[0.003114069179945589, 0.37247376603186944, 0.01998153905946366, 0.6044306257287213]","{'apple_pie': {'cal': 1595.33, 'fat': 0.003114069179945589, 'carb': 0.37247376603186944, 'protein': 0.01998153905946366, 'other': 0.6044306257287213}}","['pie', 'cinnamon', 'nut']"
apple_pie/8_apple_pie_hostedLargeUrl.jpg,57,8_apple_pie_hostedLargeUrl.jpg,apple_pie,"apple,pie,butter,cinnamon","{""apple_pie"": {""apple"": 680, ""pie"": 1, ""butter"": 113, ""cinnamon"": 2.60}}","{'apple_pie': {'apple': 680, 'pie': 1, 'butter': 113, 'cinnamon': 2.6}}",796.6,"[0.11660808435852373, 0.11964976148631684, 0.0036957067537032387, 0.7600464474014562]","{'apple_pie': {'cal': 1163.81, 'fat': 0.11660808435852373, 'carb': 0.11964976148631684, 'protein': 0.0036957067537032387, 'other': 0.7600464474014562}}","['pie', 'cinnamon']"
apple_pie/18_apple_pie_hostedLargeUrl.jpg,67,18_apple_pie_hostedLargeUrl.jpg,apple_pie,"pie,apple,sugar,flour,lemon,cinnamon,nut,salt,butter","{""apple_pie"": {""pie"": 1, ""apple"": 680, ""sugar"": 150, ""flour"": 180, ""lemon"": 15, ""cinnamon"": 2.60, ""nut"": 0.50, ""salt"": 1, ""butter"": 113}}","{'apple_pie': {'pie': 1, 'apple': 680, 'sugar': 150, 'flour': 180, 'lemon': 15, 'cinnamon': 2.6, 'nut': 0.5, 'salt': 1, 'butter': 113}}",1143.1,"[0.08287551395328493, 0.3354588399965008, 0.018781383955909368, 0.5628842620943049]","{'apple_pie': {'cal': 2405.54, 'fat': 0.08287551395328493, 'carb': 0.3354588399965008, 'protein': 0.018781383955909368, 'other': 0.5628842620943049}}","['pie', 'cinnamon', 'nut']"
apple_pie/14_crustless_apple_pie_hostedLargeUrl.jpg,63,14_crustless_apple_pie_hostedLargeUrl.jpg,apple_pie,"apple,lemon,honey,cinnamon,nut,cloves,apple,margarine,corn starch,nut","{""apple_pie"": {""apple"": 680, ""lemon"": 15, ""honey"": 100, ""cinnamon"": 2.60, ""nut"": 50, ""cloves"": 5, ""apple"": 680, ""margarine"": 113, ""corn starch"": 30, ""nut"": 50}}","{'apple_pie': {'apple': 680, 'lemon': 15, 'honey': 100, 'cinnamon': 2.6, 'nut': 50, 'cloves': 5, 'margarine': 113, 'corn starch': 30}}",995.6,"[0.09336078746484532, 0.20767476898352755, 0.0028334672559260743, 0.6961309762957011]","{'apple_pie': {'cal': 1586.16, 'fat': 0.09336078746484532, 'carb': 0.20767476898352755, 'protein': 0.0028334672559260743, 'other': 0.6961309762957011}}","['cinnamon', 'nut', 'cloves']"
apple_pie/34_perfect_apple_pie_hostedLargeUrl.jpg,83,34_perfect_apple_pie_hostedLargeUrl.jpg,apple_pie,"apple,water,crust,sugar,cinnamon,salt,corn starch,pie,egg","{""apple_pie"": {""apple"": 680, ""water"": 240, ""crust"": 180, ""sugar"": 150, ""cinnamon"": 2.60, ""salt"": 2, ""corn starch"": 30, ""pie"": 1, ""egg"": 1}}","{'apple_pie': {'apple': 680, 'water': 240, 'crust': 180, 'sugar': 150, 'cinnamon': 2.6, 'salt': 2, 'corn starch': 30, 'pie': 1, 'egg': 1}}",1286.6,"[0.0010687082232240014, 0.21189180786569253, 0.0016555261930669984, 0.7853839577180165]","{'apple_pie': {'cal': 1049.6, 'fat': 0.0010687082232240014, 'carb': 0.21189180786569253, 'protein': 0.0016555261930669984, 'other': 0.7853839577180165}}","['crust', 'cinnamon', 'pie', 'egg']"
